run_date,prediction_date,ticker,rank_bucket,agreement_status,suggested_action,reason,current_price,ensemble_score,ensemble_rank,ensemble_percentile,model_count,top_decile_model_count,top_5pct_model_count,best_model_score,best_model_percentile
2026-05-08T20:27:33Z,2026-05-07,DOGZ,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,1.12,0.5442008674144745,392,8.211143695014663,3,1,0,0.6434791684150696,6.388772517804776
2026-05-08T20:27:33Z,2026-05-07,BCAB,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,4.35,0.5440002183119456,393,8.232090490155006,3,1,0,0.6520799994468689,5.111018014243821
2026-05-08T20:27:33Z,2026-05-07,QTTB,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,5.44,0.5439691046873728,394,8.253037285295349,3,1,0,0.6192651391029358,9.928780896522833
2026-05-08T20:27:33Z,2026-05-07,LIFE,TOP_DECILE,STRONG (2/3 top-decile),WATCHLIST,Top decile with 2/3 model agreement,30.59,0.5438811779022217,395,8.273984080435694,3,2,0,0.6244876980781555,7.394218684541265
2026-05-08T20:27:33Z,2026-05-07,OUST,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,24.51,0.5438001255194346,396,8.294930875576037,3,1,0,0.6464354991912842,5.341432760787599
2026-05-08T20:27:33Z,2026-05-07,ENLT,TOP_DECILE,STRONG (2/3 top-decile),WATCHLIST,Top decile with 2/3 model agreement,85.09,0.5437518854935964,397,8.31587767071638,3,2,0,0.6534942984580994,5.006284038542103
2026-05-08T20:27:33Z,2026-05-07,STEM,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,8.73,0.5436991552511851,398,8.336824465856724,3,1,1,0.665016770362854,3.142019271051529
2026-05-08T20:27:33Z,2026-05-07,ANF,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,78.51,0.5436582664648691,399,8.357771260997067,3,1,1,0.677882969379425,2.1156263091746963
2026-05-08T20:27:33Z,2026-05-07,FATE,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,2.43,0.5435742934544882,400,8.37871805613741,3,1,0,0.6426439881324768,6.535400083787181
2026-05-08T20:27:33Z,2026-05-07,RL,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,353.55,0.5435248414675394,401,8.399664851277754,3,1,1,0.6915425658226013,0.5236698785085881
2026-05-08T20:27:33Z,2026-05-07,CGTX,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,1.16,0.5432200034459432,402,8.420611646418099,3,1,1,0.6539786458015442,4.964390448261416
2026-05-08T20:27:33Z,2026-05-07,CBIO,TOP_DECILE,STRONG (2/3 top-decile),WATCHLIST,Top decile with 2/3 model agreement,18.0,0.5430870453516642,403,8.441558441558442,3,2,0,0.6306487321853638,6.765814830330959
2026-05-08T20:27:33Z,2026-05-07,MGNX,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,2.94,0.5428928037484487,404,8.462505236698785,3,1,1,0.6746077537536621,2.3669878508588185
2026-05-08T20:27:33Z,2026-05-07,MSAI,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,5.7899,0.5428747435410818,405,8.483452031839128,3,1,0,0.6294824481010437,9.195643066610808
2026-05-08T20:27:33Z,2026-05-07,CC,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,22.41,0.5428506235281626,406,8.504398826979472,3,1,1,0.6556095480918884,4.33598659405111
2026-05-08T20:27:33Z,2026-05-07,ENVB,TOP_DECILE,STRONG (2/3 top-decile),WATCHLIST,Top decile with 2/3 model agreement,3.17,0.5427645444869995,407,8.525345622119815,3,2,1,0.6482691764831543,4.356933389191454
2026-05-08T20:27:33Z,2026-05-07,INSM,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,105.0,0.5427354276180267,408,8.54629241726016,3,1,1,0.6552438735961914,4.775869291998324
2026-05-08T20:27:33Z,2026-05-07,THRY,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,3.72,0.5427322089672089,409,8.567239212400503,3,1,1,0.6771933436393738,2.220360284876414
2026-05-08T20:27:33Z,2026-05-07,GLW,TOP_DECILE,STRONG (2/3 top-decile),WATCHLIST,Top decile with 2/3 model agreement,182.4,0.5426511367162069,410,8.588186007540846,3,2,1,0.7070654630661011,0.5865102639296188
2026-05-08T20:27:33Z,2026-05-07,MX,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,3.86,0.5426136751969656,411,8.60913280268119,3,1,1,0.6705837249755859,3.0372852953498115
